"x","y"
"3477.526123","4.93E-15"
"3479.381536","1.78E-15"
"3481.236948","1.60E-15"
"3483.092361","8.13E-17"
"3484.947773","-1.94E-16"
"3486.803186","-1.55E-15"
"3488.658598","4.98E-16"
"3490.514011","6.46E-15"
"3492.369423","2.51E-15"
"3494.224836","2.65E-15"
"3496.080248","2.45E-15"
"3497.935661","1.86E-15"
"3499.791073","4.38E-15"
"3501.646485","3.71E-15"
"3503.501898","2.34E-15"
"3505.35731","-5.74E-16"
"3507.212723","-2.28E-16"
"3509.068135","-1.30E-15"
"3510.923548","1.39E-15"
"3512.77896","-8.92E-16"
"3514.634373","5.30E-16"
"3516.489785","1.51E-15"
"3518.345198","2.77E-15"
"3520.20061","1.19E-15"
"3522.056023","1.18E-15"
"3523.911435","2.48E-15"
"3525.766848","2.58E-15"
"3527.62226","4.60E-15"
"3529.477673","4.10E-15"
"3531.333085","1.12E-16"
"3533.188498","3.20E-15"
"3535.04391","2.42E-15"
"3536.899323","4.02E-15"
"3538.754735","3.60E-15"
"3540.610148","8.90E-16"
"3542.46556","3.97E-15"
"3544.320973","3.24E-15"
"3546.176385","2.76E-15"
"3548.031798","3.80E-15"
"3549.88721","1.75E-15"
"3551.742623","2.41E-15"
"3553.598035","5.35E-15"
"3555.453448","2.95E-15"
"3557.30886","1.77E-15"
"3559.164273","1.96E-15"
"3561.019685","1.80E-15"
"3562.875098","4.02E-15"
"3564.73051","4.38E-16"
"3566.585923","1.60E-15"
"3568.441335","4.05E-15"
"3570.296748","2.24E-15"
"3572.15216","1.67E-15"
"3574.007573","1.19E-15"
"3575.862985","1.20E-15"
"3577.718398","2.40E-15"
"3579.57381","1.25E-15"
"3581.429223","3.49E-16"
"3583.284635","6.70E-17"
"3585.140048","1.53E-16"
"3586.99546","1.98E-15"
"3588.850873","1.69E-15"
"3590.706285","2.75E-15"
"3592.561698","3.17E-15"
"3594.41711","8.41E-16"
"3596.272523","2.59E-15"
"3598.127935","1.38E-15"
"3599.983348","9.02E-16"
"3601.83876","1.11E-15"
"3603.694173","2.50E-15"
"3605.549585","2.88E-15"
"3607.404998","2.68E-15"
"3609.26041","1.28E-15"
"3611.115823","3.71E-16"
"3612.971235","2.20E-15"
"3614.826648","2.90E-15"
"3616.68206","2.31E-15"
"3618.537473","1.98E-15"
"3620.392885","2.74E-15"
"3622.248298","1.50E-15"
"3624.10371","1.82E-15"
"3625.959123","3.05E-15"
"3627.814535","2.32E-15"
"3629.669948","3.34E-15"
"3631.52536","2.20E-15"
"3633.380773","7.81E-16"
"3635.236185","2.01E-15"
"3637.091598","1.38E-15"
"3638.94701","4.85E-16"
"3640.802423","2.05E-15"
"3642.657835","1.22E-15"
"3644.513248","1.13E-15"
"3646.36866","3.18E-15"
"3648.224073","1.66E-15"
"3650.079485","2.16E-15"
"3651.934898","1.97E-15"
"3653.79031","-7.21E-16"
"3655.645723","1.14E-15"
"3657.501135","1.97E-15"
"3659.356548","1.01E-15"
"3661.21196","1.30E-15"
"3663.067373","2.40E-15"
"3664.922785","1.84E-15"
"3666.778198","1.30E-15"
"3668.63361","1.01E-15"
"3670.489023","5.99E-16"
"3672.344435","1.33E-15"
"3674.199848","2.08E-15"
"3676.05526","1.67E-15"
"3677.910673","2.54E-16"
"3679.766085","1.19E-15"
"3681.621498","1.95E-15"
"3683.47691","1.41E-15"
"3685.332323","1.89E-15"
"3687.187735","2.16E-15"
"3689.043148","2.00E-15"
"3690.89856","1.40E-15"
"3692.753973","1.76E-15"
"3694.609385","1.58E-15"
"3696.464798","1.27E-15"
"3698.32021","1.82E-15"
"3700.175623","2.32E-15"
"3702.031035","1.77E-15"
"3703.886448","1.40E-15"
"3705.74186","1.67E-15"
"3707.597273","2.07E-15"
"3709.452685","1.22E-15"
"3711.308098","1.23E-16"
"3713.16351","1.61E-15"
"3715.018923","1.47E-15"
"3716.874335","1.21E-15"
"3718.729748","1.11E-15"
"3720.58516","1.33E-15"
"3722.440573","1.26E-15"
"3724.295985","1.77E-15"
"3726.151398","2.06E-15"
"3728.00681","1.73E-15"
"3729.862223","1.68E-15"
"3731.717635","1.46E-15"
"3733.573048","1.11E-15"
"3735.42846","1.22E-15"
"3737.283872","1.33E-15"
"3739.139285","1.24E-15"
"3740.994697","1.13E-15"
"3742.85011","1.07E-15"
"3744.705522","1.16E-15"
"3746.560935","1.81E-15"
"3748.416347","1.61E-15"
"3750.27176","2.75E-15"
"3752.127172","2.16E-15"
"3753.982585","8.86E-16"
"3755.837997","9.14E-16"
"3757.69341","9.67E-16"
"3759.548822","5.62E-16"
"3761.404235","1.22E-15"
"3763.259647","1.44E-15"
"3765.11506","1.51E-15"
"3766.970472","8.19E-16"
"3768.825885","1.21E-15"
"3770.681297","2.05E-15"
"3772.53671","1.15E-15"
"3774.392122","1.00E-15"
"3776.247535","1.39E-15"
"3778.102947","9.09E-16"
"3779.95836","1.40E-15"
"3781.813772","1.36E-15"
"3783.669185","5.95E-16"
"3785.524597","6.47E-16"
"3787.38001","1.26E-15"
"3789.235422","1.71E-15"
"3791.090835","1.67E-15"
"3792.946247","9.51E-16"
"3794.80166","8.73E-16"
"3796.657072","1.56E-15"
"3798.512485","1.70E-15"
"3800.367897","1.76E-15"
"3802.22331","1.52E-15"
"3804.078722","1.70E-15"
"3805.934135","1.56E-15"
"3807.789547","8.87E-16"
"3809.64496","1.54E-15"
"3811.500372","1.37E-15"
"3813.355785","1.16E-15"
"3815.211197","1.50E-15"
"3817.06661","1.40E-15"
"3818.922022","1.14E-15"
"3820.777435","1.60E-15"
"3822.632847","1.61E-15"
"3824.48826","6.22E-16"
"3826.343672","8.52E-16"
"3828.199085","8.98E-16"
"3830.054497","7.28E-16"
"3831.90991","1.05E-15"
"3833.765322","1.78E-15"
"3835.620735","2.23E-15"
"3837.476147","1.98E-15"
"3839.33156","1.39E-15"
"3841.186972","9.89E-16"
"3843.042385","9.13E-16"
"3844.897797","1.14E-15"
"3846.75321","8.59E-16"
"3848.608622","7.48E-16"
"3850.464035","1.30E-15"
"3852.319447","7.74E-16"
"3854.17486","1.07E-15"
"3856.030272","1.63E-15"
"3857.885685","2.36E-15"
"3859.741097","1.50E-15"
"3861.59651","1.39E-15"
"3863.451922","1.25E-15"
"3865.307335","2.00E-15"
"3867.162747","3.69E-15"
"3869.01816","4.77E-15"
"3870.873572","5.25E-15"
"3872.728985","3.54E-15"
"3874.584397","2.36E-15"
"3876.43981","1.38E-15"
"3878.295222","8.57E-16"
"3880.150635","1.01E-15"
"3882.006047","1.72E-15"
"3883.86146","9.78E-16"
"3885.716872","9.62E-16"
"3887.572285","2.14E-15"
"3889.427697","2.92E-15"
"3891.28311","3.11E-15"
"3893.138522","2.59E-15"
"3894.993935","2.06E-15"
"3896.849347","1.83E-15"
"3898.70476","1.40E-15"
"3900.560172","1.48E-15"
"3902.415585","2.19E-15"
"3904.270997","1.69E-15"
"3906.12641","1.63E-15"
"3907.981822","1.12E-15"
"3909.837235","1.87E-15"
"3911.692647","1.18E-15"
"3913.54806","1.43E-15"
"3915.403472","1.74E-15"
"3917.258885","1.75E-15"
"3919.114297","1.61E-15"
"3920.96971","1.75E-15"
"3922.825122","1.25E-15"
"3924.680535","1.20E-15"
"3926.535947","1.63E-15"
"3928.39136","2.01E-15"
"3930.246772","1.22E-15"
"3932.102185","1.20E-15"
"3933.957597","9.87E-16"
"3935.81301","1.28E-15"
"3937.668422","8.05E-16"
"3939.523835","1.05E-15"
"3941.379247","1.51E-15"
"3943.23466","1.24E-15"
"3945.090072","1.11E-15"
"3946.945485","1.58E-15"
"3948.800897","1.58E-15"
"3950.65631","1.06E-15"
"3952.511722","1.50E-15"
"3954.367135","1.45E-15"
"3956.222547","1.69E-15"
"3958.07796","1.13E-15"
"3959.933372","1.41E-15"
"3961.788785","1.65E-15"
"3963.644197","1.19E-15"
"3965.49961","1.64E-15"
"3967.355022","3.13E-15"
"3969.210435","4.24E-15"
"3971.065847","4.67E-15"
"3972.921259","3.80E-15"
"3974.776672","2.89E-15"
"3976.632084","1.93E-15"
"3978.487497","1.15E-15"
"3980.342909","1.40E-15"
"3982.198322","1.28E-15"
"3984.053734","1.11E-15"
"3985.909147","1.72E-15"
"3987.764559","1.82E-15"
"3989.619972","1.09E-15"
"3991.475384","7.16E-16"
"3993.330797","1.46E-15"
"3995.186209","1.49E-15"
"3997.041622","1.69E-15"
"3998.897034","1.42E-15"
"4000.752447","9.84E-16"
"4002.607859","1.09E-15"
"4004.463272","1.67E-15"
"4006.318684","2.01E-15"
"4008.174097","2.06E-15"
"4010.029509","1.71E-15"
"4011.884922","1.27E-15"
"4013.740334","1.66E-15"
"4015.595747","1.24E-15"
"4017.451159","6.70E-16"
